,<5,>5,Total Kibogo
12-Jan,88,42,130
Feb,39,37,76
Mar,7,3,10
Apr,7,6,13
May,10,14,24
Jun,17,17,34
Jul,20,21,41
Aug,27,14,41
Sep,11,9,20
Oct,17,18,35
Nov,9,3,12
Dec,7,6,13
13-Jan,24,10,34
Feb,39,7,46
Mar,24,4,28
Apr,9,5,14
May,4,7,11
Jun,23,12,35
Jul,24,9,33
Aug,25,8,33
Sep,22,13,35
Oct,22,15,37
Nov,34,22,56
Dec,16,8,24
14-Jan,51,18,69
Feb,34,15,49
Mar,23,27,50
Apr,32,11,43
May,14,16,30
Jun,8,34,42
Jul,27,18,45
Aug,9,16,25
Sep,14,16,30
Oct,15,13,28
Nov,7,0,7
Dec,15,12,27
,22,18,40
,20,20,40
,14,15,29
